1489 65.73 70.45 0.10 0.30 0.60 0.60 0.20 0.20 2 2 1 4.40 3.85 1.74 0
1490 66.64 69.55 0.50 0.20 0.30 0.70 0.20 0.10 2 2 1 2.60 3.32 2.65 0
1491 69.73 65.55 0.50 0.20 0.30 0.20 0.30 0.50 3 0 2 1.61 3.86 5.52 0
1492 67.73 67.09 0.30 0.10 0.60 0.50 0.40 0.10 2 1 1 2.50 3.27 2.80 0
1493 66.09 67.18 0.10 0.30 0.60 0.30 0.40 0.30 2 1 2 2.32 3.36 2.98 0
1494 65.82 69.00 0.30 0.10 0.60 0.80 0.20 0.00 0 3 2 4.19 3.64 1.82 1
1495 72.55 64.64 0.60 0.20 0.20 0.10 0.30 0.60 4 1 0 1.21 6.27 13.47 0
1496 67.91 62.73 0.50 0.30 0.20 0.10 0.00 0.90 4 0 0 1.69 3.66 5.08 0
1497 74.36 69.00 0.50 0.30 0.20 0.30 0.20 0.50 1 0 4 1.43 4.48 6.95 1
1498 72.64 73.00 0.50 0.50 0.00 0.60 0.10 0.30 2 1 2 2.14 3.45 3.26 0
1499 69.91 70.00 0.40 0.20 0.40 0.30 0.20 0.50 1 3 1 2.13 3.47 3.28 0
1500 69.91 67.91 0.70 0.20 0.10 0.20 0.30 0.50 2 2 0 1.90 3.57 3.95 0
1501 69.36 67.64 0.30 0.50 0.20 0.50 0.20 0.30 4 1 0 2.06 3.41 3.53 0
1502 66.09 66.73 0.20 0.30 0.50 0.20 0.30 0.50 0 1 1 1.96 3.56 3.70 1
1503 65.64 67.82 0.10 0.30 0.60 0.30 0.40 0.30 1 2 2 3.13 3.34 2.26 1
1504 66.36 64.36 0.40 0.20 0.40 0.30 0.20 0.50 0 2 0 1.79 3.66 4.32 2
1505 72.64 69.64 0.50 0.10 0.40 0.70 0.20 0.10 3 0 1 1.53 4.15 5.88 0
1506 69.27 65.82 0.20 0.20 0.60 0.10 0.40 0.50 0 2 3 1.39 4.65 7.60 2
1507 68.18 66.36 0.20 0.30 0.50 0.40 0.20 0.40 4 0 1 1.84 3.54 4.20 0
1508 67.91 74.18 0.50 0.20 0.30 0.50 0.40 0.10 1 3 1 4.07 3.57 1.86 2
1509 67.09 73.00 0.20 0.40 0.40 0.50 0.50 0.00 0 4 0 5.60 3.96 1.58 2
1510 69.27 66.73 0.20 0.20 0.60 0.20 0.30 0.50 1 1 3 1.81 3.62 4.28 2
1511 68.18 69.36 0.30 0.40 0.30 0.30 0.50 0.20 2 1 2 2.28 3.32 3.08 0
1512 64.82 70.82 0.40 0.10 0.50 0.50 0.20 0.30 0 4 1 3.61 3.56 1.98 2
1513 74.36 72.09 0.50 0.40 0.10 0.60 0.10 0.30 2 0 3 1.88 3.62 3.92 0
1514 72.82 69.55 0.60 0.40 0.00 0.60 0.20 0.20 2 1 2 1.44 4.39 7.17 1
1515 70.82 67.18 0.50 0.20 0.30 0.20 0.40 0.40 3 1 0 1.49 4.31 6.25 2
1516 69.09 66.00 0.30 0.30 0.40 0.40 0.20 0.40 2 2 1 1.87 3.68 3.93 2
1517 69.27 69.55 0.20 0.50 0.30 0.20 0.20 0.60 0 5 0 2.42 3.37 2.82 2
1518 66.73 65.18 0.30 0.30 0.40 0.40 0.10 0.50 1 2 1 1.76 3.73 4.37 2
1519 66.27 69.36 0.20 0.30 0.50 0.20 0.20 0.60 1 3 1 2.82 3.40 2.40 2
1520 66.18 68.36 0.30 0.20 0.50 0.30 0.40 0.30 2 2 1 2.49 3.35 2.74 0
1521 72.73 65.36 0.50 0.10 0.40 0.30 0.30 0.40 3 2 0 1.34 5.13 8.18 0
1522 68.36 69.09 0.20 0.20 0.60 0.30 0.30 0.40 3 2 0 1.85 3.66 3.96 0
1523 69.55 70.36 0.50 0.30 0.20 0.50 0.20 0.30 1 1 2 2.29 3.36 3.01 0
1524 66.82 65.73 0.50 0.20 0.30 0.30 0.20 0.50 2 2 1 2.00 3.55 3.53 0
1525 67.18 66.64 0.30 0.40 0.30 0.20 0.30 0.50 2 0 2 1.78 3.66 4.34 1
1526 69.36 72.91 0.30 0.10 0.60 0.50 0.50 0.00 0 2 3 3.73 3.50 1.96 2
1527 68.64 74.64 0.30 0.40 0.30 0.50 0.40 0.10 0 4 1 4.67 3.65 1.74 1
1528 64.82 68.00 0.40 0.10 0.50 0.20 0.40 0.40 1 3 1 2.71 3.37 2.50 2
1529 73.73 67.00 0.50 0.40 0.10 0.30 0.50 0.20 2 2 0 1.21 6.19 13.03 0
1530 71.09 68.91 0.50 0.10 0.40 0.30 0.00 0.70 1 1 3 1.82 3.58 4.27 2
1531 68.55 64.91 0.20 0.30 0.50 0.40 0.10 0.50 2 1 2 1.57 4.03 5.58 0
1532 67.73 68.09 0.60 0.10 0.30 0.30 0.40 0.30 2 2 1 2.00 3.41 3.65 1
1533 68.00 69.73 0.30 0.30 0.40 0.60 0.20 0.20 2 1 1 2.14 3.41 3.29 1
1534 65.55 72.09 0.30 0.30 0.40 0.60 0.40 0.00 0 2 3 4.78 3.73 1.70 2
1535 66.36 72.45 0.10 0.40 0.50 0.60 0.00 0.40 0 5 0 4.96 4.01 1.63 2
1536 67.00 69.55 0.30 0.10 0.60 0.20 0.20 0.60 2 1 2 3.26 3.50 2.12 0
1537 72.91 69.73 0.60 0.00 0.40 0.40 0.10 0.50 2 2 1 1.53 4.15 5.91 0
1538 70.00 74.00 0.20 0.10 0.70 0.60 0.40 0.00 3 0 2 3.16 3.39 2.20 0
1539 72.73 68.45 0.60 0.40 0.00 0.30 0.40 0.30 0 2 3 1.50 4.17 6.30 2
1540 69.64 66.09 0.50 0.30 0.20 0.20 0.30 0.50 1 1 0 1.60 3.95 5.40 0
1541 66.91 67.73 0.30 0.40 0.30 0.60 0.20 0.20 0 2 2 2.70 3.40 2.49 1
1542 69.27 66.73 0.30 0.00 0.70 0.40 0.10 0.50 2 0 3 1.68 3.76 4.91 1
1543 68.55 68.55 0.30 0.50 0.20 0.30 0.30 0.40 5 0 0 2.25 3.33 3.13 0
1544 65.00 66.27 0.30 0.10 0.60 0.10 0.40 0.50 1 1 2 1.94 3.57 3.72 1
1545 73.45 68.09 0.70 0.00 0.30 0.50 0.30 0.20 3 1 1 1.44 4.52 6.77 0
1546 69.64 69.00 0.30 0.10 0.60 0.40 0.40 0.20 2 2 1 1.79 3.61 4.39 1
1547 72.27 65.45 0.60 0.30 0.10 0.10 0.40 0.50 3 0 2 1.31 5.30 9.05 0
1548 68.91 69.73 0.20 0.30 0.50 0.50 0.30 0.20 1 2 1 2.27 3.39 3.05 0
1549 65.64 67.82 0.30 0.30 0.40 0.40 0.10 0.50 0 4 0 2.63 3.33 2.60 2
1550 68.00 74.45 0.40 0.30 0.30 0.50 0.40 0.10 0 3 2 4.07 3.51 1.87 1
1551 64.18 69.82 0.20 0.30 0.50 0.40 0.10 0.50 0 3 2 3.23 3.43 2.17 2
1552 65.73 66.45 0.30 0.10 0.60 0.30 0.20 0.50 2 0 0 2.19 3.47 3.11 0
1553 73.64 65.91 0.50 0.40 0.10 0.10 0.30 0.60 3 0 2 1.26 5.95 9.86 0
1554 70.73 73.73 0.40 0.10 0.50 0.70 0.20 0.10 2 2 1 2.92 3.47 2.30 2
1555 68.91 72.64 0.30 0.20 0.50 0.70 0.00 0.30 1 2 2 3.63 3.62 1.95 2
1556 68.55 69.36 0.40 0.30 0.30 0.30 0.20 0.50 1 2 2 2.59 3.39 2.61 2
1557 68.55 65.73 0.30 0.50 0.20 0.30 0.10 0.60 2 3 0 1.68 3.77 4.96 0
1558 69.09 69.27 0.40 0.30 0.30 0.30 0.10 0.60 1 2 2 2.20 3.29 3.28 2
1559 67.09 70.55 0.10 0.40 0.50 0.50 0.30 0.20 1 3 0 3.18 3.49 2.17 2
1560 67.00 66.73 0.30 0.20 0.50 0.30 0.40 0.30 1 1 0 1.99 3.44 3.70 2
1561 72.55 67.00 0.80 0.00 0.20 0.40 0.30 0.30 3 0 2 1.47 4.40 6.35 0
1562 72.73 68.18 0.80 0.10 0.10 0.40 0.20 0.40 1 2 2 1.45 4.55 6.40 1
1563 70.55 74.36 0.40 0.00 0.60 0.50 0.40 0.10 0 2 3 3.39 3.42 2.10 1
1564 69.64 67.73 0.50 0.30 0.20 0.30 0.10 0.60 0 1 1 1.58 3.91 5.71 2
1565 67.00 69.09 0.40 0.40 0.20 0.30 0.10 0.60 0 3 1 2.57 3.36 2.65 2
1566 69.55 68.18 0.40 0.10 0.50 0.40 0.40 0.20 3 1 1 2.08 3.40 3.47 0
1567 65.36 67.09 0.10 0.20 0.70 0.10 0.30 0.60 2 1 1 1.90 3.61 3.81 0
1568 65.00 69.36 0.30 0.10 0.60 0.40 0.20 0.40 0 4 1 3.60 3.50 2.00 1
1569 74.36 69.82 0.50 0.40 0.10 0.40 0.30 0.30 2 1 1 1.47 4.34 6.54 1
1570 70.55 72.91 0.40 0.30 0.30 0.80 0.00 0.20 1 4 0 3.05 3.43 2.26 0
1571 69.00 69.55 0.40 0.10 0.50 0.40 0.10 0.50 1 3 1 2.01 3.40 3.68 1
1572 67.55 65.00 0.30 0.30 0.40 0.30 0.20 0.50 3 2 0 1.60 4.03 5.40 0
1573 67.27 66.36 0.40 0.40 0.20 0.30 0.40 0.30 3 1 0 1.77 3.59 4.57 2
1574 67.82 66.00 0.40 0.20 0.40 0.20 0.20 0.60 1 3 0 1.79 3.69 4.28 0
1575 66.64 70.55 0.10 0.30 0.60 0.30 0.10 0.60 1 3 1 3.84 3.59 1.90 1
1576 67.64 73.09 0.30 0.10 0.60 0.70 0.20 0.10 0 4 1 4.41 3.64 1.79 2
1577 69.73 69.64 0.70 0.30 0.00 0.60 0.10 0.30 2 2 1 1.69 3.67 5.00 0
1578 69.27 67.73 0.50 0.20 0.30 0.40 0.40 0.20 2 1 2 1.56 4.17 5.46 0
1579 64.64 66.18 0.10 0.30 0.60 0.60 0.20 0.20 3 2 0 3.09 3.30 2.28 0
1580 67.73 65.82 0.40 0.10 0.50 0.30 0.20 0.50 3 1 0 1.68 3.59 5.23 0
1581 61.82 65.18 0.10 0.00 0.90 0.20 0.30 0.50 1 1 0 2.62 3.27 2.63 2
1582 67.09 66.73 0.30 0.40 0.30 0.50 0.30 0.20 2 1 2 2.05 3.44 3.50 1
1583 69.73 66.00 0.60 0.20 0.20 0.20 0.30 0.50 2 1 2 1.62 3.84 5.38 0
1584 66.00 72.55 0.20 0.20 0.60 0.60 0.20 0.20 0 3 2 5.64 4.04 1.57 2
1585 73.55 73.91 0.70 0.00 0.30 0.50 0.40 0.10 0 2 3 2.00 3.52 3.54 2
1586 73.91 68.82 0.70 0.20 0.10 0.30 0.40 0.30 2 2 1 1.44 4.36 7.01 0
1587 70.27 66.82 0.30 0.20 0.50 0.30 0.10 0.60 3 1 1 1.54 3.98 6.13 0
1588 70.64 70.82 0.40 0.30 0.30 0.50 0.20 0.30 4 0 0 2.39 3.42 2.83 0
1589 65.82 64.09 0.30 0.40 0.30 0.30 0.20 0.50 1 2 1 2.01 3.50 3.56 2
1590 69.09 68.27 0.40 0.20 0.40 0.30 0.30 0.40 1 2 2 2.21 3.46 3.10 1
