1489 65.73 70.45 0.10 0.30 0.60 0.60 0.20 0.20 2 2 1
1490 66.64 69.55 0.50 0.20 0.30 0.70 0.20 0.10 2 2 1
1491 69.73 65.55 0.50 0.20 0.30 0.20 0.30 0.50 3 0 2
1492 67.73 67.09 0.30 0.10 0.60 0.50 0.40 0.10 2 1 1
1493 66.09 67.18 0.10 0.30 0.60 0.30 0.40 0.30 2 1 2
1494 65.82 69.00 0.30 0.10 0.60 0.80 0.20 0.00 0 3 2
1495 72.55 64.64 0.60 0.20 0.20 0.10 0.30 0.60 4 1 0
1496 67.91 62.73 0.50 0.30 0.20 0.10 0.00 0.90 4 0 0
1497 74.36 69.00 0.50 0.30 0.20 0.30 0.20 0.50 1 0 4
1498 72.64 73.00 0.50 0.50 0.00 0.60 0.10 0.30 2 1 2
1499 69.91 70.00 0.40 0.20 0.40 0.30 0.20 0.50 1 3 1
1500 69.91 67.91 0.70 0.20 0.10 0.20 0.30 0.50 2 2 0
1501 69.36 67.64 0.30 0.50 0.20 0.50 0.20 0.30 4 1 0
1502 66.09 66.73 0.20 0.30 0.50 0.20 0.30 0.50 0 1 1
1503 65.64 67.82 0.10 0.30 0.60 0.30 0.40 0.30 1 2 2
1504 66.36 64.36 0.40 0.20 0.40 0.30 0.20 0.50 0 2 0
1505 72.64 69.64 0.50 0.10 0.40 0.70 0.20 0.10 3 0 1
1506 69.27 65.82 0.20 0.20 0.60 0.10 0.40 0.50 0 2 3
1507 68.18 66.36 0.20 0.30 0.50 0.40 0.20 0.40 4 0 1
1508 67.91 74.18 0.50 0.20 0.30 0.50 0.40 0.10 1 3 1
1509 67.09 73.00 0.20 0.40 0.40 0.50 0.50 0.00 0 4 0
1510 69.27 66.73 0.20 0.20 0.60 0.20 0.30 0.50 1 1 3
1511 68.18 69.36 0.30 0.40 0.30 0.30 0.50 0.20 2 1 2
1512 64.82 70.82 0.40 0.10 0.50 0.50 0.20 0.30 0 4 1
1513 74.36 72.09 0.50 0.40 0.10 0.60 0.10 0.30 2 0 3
1514 72.82 69.55 0.60 0.40 0.00 0.60 0.20 0.20 2 1 2
1515 70.82 67.18 0.50 0.20 0.30 0.20 0.40 0.40 3 1 0
1516 69.09 66.00 0.30 0.30 0.40 0.40 0.20 0.40 2 2 1
1517 69.27 69.55 0.20 0.50 0.30 0.20 0.20 0.60 0 5 0
1518 66.73 65.18 0.30 0.30 0.40 0.40 0.10 0.50 1 2 1
